,Tweets,Name,Date,Compound Score,Postive Score,Negative Score,Neutral Score,Tweet Count
79,This is Mark Zuckerberg's growing up moment | via @LaurieSegallCNN https://t.co/pPPC8TB63j https://t.co/Js7oLn3o8i,CNN,Tue Apr 10 18:00:05 +0000 2018,0.1779,0.145,0.0,0.855,80
80,".@LaurieSegallCNN is in the room where Facebook CEO Mark Zuckerberg is due to face questions. On the desk, there's… https://t.co/PHxCDdQmcv",CNN,Tue Apr 10 17:52:59 +0000 2018,0.0,0.0,0.0,1.0,81
81,Louisiana is close to lifting its ban on bulletproof backpacks in schools https://t.co/qbW10lyCjA https://t.co/WefWWm3Ii8,CNN,Tue Apr 10 17:50:04 +0000 2018,-0.5574,0.0,0.217,0.783,82
82,"Facebook CEO Mark Zuckerberg will soon begin testifying before Congress: https://t.co/0OlGWpNRMF

Have questions? W… https://t.co/MvYGjZo6di",CNN,Tue Apr 10 17:48:52 +0000 2018,0.0,0.0,0.0,1.0,83
83,The FBI raid on Trump's personal attorney sought records on the deal set up between an ex-Playboy Playmate who has… https://t.co/y3A5nG2BB8,CNN,Tue Apr 10 17:44:46 +0000 2018,0.0,0.0,0.0,1.0,84
84,"An EPA official is expected to meet this week with congressional investigators to discuss his concerns, which inclu… https://t.co/X0DllTm9Ur",CNN,Tue Apr 10 17:40:10 +0000 2018,0.0,0.0,0.0,1.0,85
85,Facebook's press page was once filled with announcements about new features to order food and connect to friends in… https://t.co/GkGoBR92vS,CNN,Tue Apr 10 17:30:09 +0000 2018,0.4767,0.14,0.0,0.86,86
86,The gender pay gap isn't just about what you make. It's about what you do. https://t.co/PXIJRooiwF https://t.co/kkGGUKto6m,CNN,Tue Apr 10 17:20:11 +0000 2018,-0.1027,0.0,0.08,0.92,87
87,"RT @CNNMoney: Almost 10 years after President Obama signed the Lilly Ledbetter Fair Pay Act of 2009, women still make less than men. We spo…",CNN,Tue Apr 10 17:19:03 +0000 2018,0.2263,0.086,0.052,0.861,88
88,Facebook CEO Mark Zuckerberg will soon testify before Congress. Here's everything you need to know before you watch… https://t.co/JEe0X8ZxLs,CNN,Tue Apr 10 17:10:12 +0000 2018,0.0,0.0,0.0,1.0,89
89,Tom Bossert's exit means half of Donald Trump's 'A Team' has left since he became President | Analysis by… https://t.co/o7cO9UxrAd,CNN,Tue Apr 10 17:03:05 +0000 2018,0.0,0.0,0.0,1.0,90
90,A judge has finalized a $25 million settlement for students who claim they were defrauded by Trump University… https://t.co/VLYCc6LmHP,CNN,Tue Apr 10 16:54:46 +0000 2018,0.0,0.0,0.0,1.0,91
91,"Facebook knows you better than you think:

• With 10 likes, a computer model fundamentally knows you better than a… https://t.co/43EaVEBa3y",CNN,Tue Apr 10 16:42:55 +0000 2018,0.8225,0.35,0.0,0.65,92
92,How Trump can pile pressure on Putin and Assad | @NicRobertsonCNN for @CNNopinion https://t.co/TlSbLQGAmC https://t.co/J7YfAKhsig,CNN,Tue Apr 10 16:30:09 +0000 2018,-0.296,0.0,0.145,0.855,93
93,Two Democratic senators say they have evidence that shows the EPA may be overstating the need for 24-7 security and… https://t.co/FvJRaFFayw,CNN,Tue Apr 10 16:20:11 +0000 2018,0.34,0.107,0.0,0.893,94
94,"RT @CNNPolitics: Update: Tom Bossert was pushed out of his position by the newly installed national security adviser John Bolton, two sourc…",CNN,Tue Apr 10 16:10:31 +0000 2018,0.34,0.103,0.0,0.897,95
95,The FBI just proved President Trump wrong on attorney-client privilege | Analysis by @CillizzaCNN… https://t.co/4PCnG0ZE2a,CNN,Tue Apr 10 16:10:07 +0000 2018,-0.1531,0.142,0.176,0.682,96
96,"For at least a year, the biggest page on Facebook purporting to be part of the Black Lives Matter movement was a sc… https://t.co/J6yXOL4Rxw",CNN,Tue Apr 10 16:00:21 +0000 2018,0.0258,0.05,0.0,0.95,97
97,"As Trump assesses how to respond to the alleged chemical attack in Syria that killed dozens of civilians, lawmakers… https://t.co/HQqThDjWK3",CNN,Tue Apr 10 15:50:10 +0000 2018,-0.8225,0.0,0.297,0.703,98
98,Facebook CEO Mark Zuckerberg will testify before Congress on Tuesday and Wednesday. Here's everything you need to k… https://t.co/xopMwq9fTn,CNN,Tue Apr 10 15:40:10 +0000 2018,0.0,0.0,0.0,1.0,99
99,"President Trump declares that ""attorney-client privilege is dead"" a day after the FBI raided the office of Michael… https://t.co/fXKgFngNfS",CNN,Tue Apr 10 15:30:07 +0000 2018,-0.4215,0.11,0.189,0.702,100
