,Tweets,Name,Date,Compound Score,Positive Score,Negative Score,Neutral Score,Tweet Count
63,"😴🐻 When the weather is so cold that you can't bear to get up. 
#MondayMorning https://t.co/JhfqRhL5fQ",BBC,Mon Apr 09 10:41:24 +0000 2018,0.0,0.0,0.0,1.0,64
64,RT @BBCTwo: Every Saga must come to an end... #TheBridge https://t.co/YNyeMUM8A2,BBC,Mon Apr 09 08:56:59 +0000 2018,0.0,0.0,0.0,1.0,65
65,"RT @BBCRadio4: ""If a £100 coat is half price, and you buy it, you haven't saved £50 you've spent £50.""
https://t.co/yKrYlW9jf6",BBC,Mon Apr 09 08:40:53 +0000 2018,-0.3252,0.0,0.109,0.891,66
66,"😲🚂 Hop onboard the train that (somehow) squeezes through a crowded market near Bangkok, eight times a day! https://t.co/htvLHtJdPH",BBC,Mon Apr 09 08:01:01 +0000 2018,0.0,0.0,0.0,1.0,67
67,"The story of why the Roman Baths developed, how they were lost for many centuries and how they were rediscovered.… https://t.co/zEzPchOgPO",BBC,Mon Apr 09 07:27:04 +0000 2018,-0.3182,0.0,0.103,0.897,68
68,🏥 How can #3DPrinting be of use in surgery? https://t.co/3LQkXMMHwo,BBC,Mon Apr 09 07:00:14 +0000 2018,0.0,0.0,0.0,1.0,69
69,"😺💦 This is Maya the jaguar's very first swim!  
#BigCatsAboutTheHouse https://t.co/IacZP3ltf3",BBC,Sun Apr 08 19:02:05 +0000 2018,0.0,0.0,0.0,1.0,70
70,😂 Need a hand getting the kids to bed? https://t.co/JAUkyoVSA8,BBC,Sun Apr 08 18:03:03 +0000 2018,0.4939,0.314,0.0,0.686,71
71,"'Silencing masks' and 'wife auctions': What life used to be like for women. 
👉 https://t.co/7Z1bcXKgOx https://t.co/gzm7Hf3loH",BBC,Sun Apr 08 17:25:08 +0000 2018,0.25,0.147,0.088,0.765,72
72,"🦖😂 Philomena Cunk examines the barbaric conditions in which we keep today's dinosaurs.
#CunkOnBritain  https://t.co/nBav5dqh7a",BBC,Sun Apr 08 17:07:02 +0000 2018,0.0,0.0,0.0,1.0,73
73,"RT @bbcgetinspired: Meet Sue...

She is planning to run the 2018 @LondonMarathon to prove someone with vascular dementia can do it. 🙌

➡ ht…",BBC,Sun Apr 08 16:40:55 +0000 2018,0.0,0.0,0.0,1.0,74
