,Tweets,Name,Date,Compound Score,Postive Score,Negative Score,Neutral Score,Tweet Count
86,.@RandPaul: “Scott Pruitt has really been the champion for deregulation and deregulation has been a big part in our… https://t.co/6y6odhIpvV,Fox News,Tue Apr 10 14:00:10 +0000 2018,0.6326,0.188,0.0,0.812,87
87,.@RandPaul: “We never should have had Mueller in the first place because we’ve given too much power to a prosecutor… https://t.co/iDGMQofVo8,Fox News,Tue Apr 10 13:56:50 +0000 2018,0.0,0.0,0.0,1.0,88
88,".@RandPaul: “Going after someone’s personal attorney is a great overstep, I think, in the authority of the prosecut… https://t.co/t11ydWzAf6",Fox News,Tue Apr 10 13:53:04 +0000 2018,0.6597,0.265,0.0,0.735,89
89,.@POTUS cancels trip to South America to oversee 'response to Syria' https://t.co/C2mhUdTcms,Fox News,Tue Apr 10 13:44:26 +0000 2018,-0.2263,0.0,0.147,0.853,90
90,Girls leap for their lives from burning balcony after New Jersey building inferno breaks out https://t.co/LNUw1DR86L,Fox News,Tue Apr 10 13:10:00 +0000 2018,0.0,0.0,0.0,1.0,91
91,.@Judgenap: Cohen Could Be 'Squeezed' for Info on Alleged Trump-Russia Collusion https://t.co/4xzFnJGxac,Fox News,Tue Apr 10 13:00:42 +0000 2018,0.0,0.0,0.0,1.0,92
92,RT @FoxBusiness: NFL legend Joe Gibbs on anthem protests: ‘A lot of people sacrificed for that flag’ https://t.co/zqiWwnG5WT,Fox News,Tue Apr 10 12:58:28 +0000 2018,-0.2263,0.0,0.101,0.899,93
93,"OPINION: Want jobs? Nebraska reforms have more people working, fewer on welfare and food stamps https://t.co/TvM5wFwAE3",Fox News,Tue Apr 10 12:50:37 +0000 2018,0.0772,0.08,0.0,0.92,94
94,".@dougducey: “To secure the border… we’re going to need technology, we’re going to need that physical barrier.” https://t.co/pt1GM1xQZ4",Fox News,Tue Apr 10 12:50:10 +0000 2018,0.34,0.124,0.0,0.876,95
95,.@dougducey on sending the @USNationalGuard to the border: “This is all about public safety. We’re talking about se… https://t.co/xa4fwUflSI,Fox News,Tue Apr 10 12:43:53 +0000 2018,0.4215,0.135,0.0,0.865,96
96,.@ChuckGrassley: “[Cambridge Analytica] tapped into Facebook and got this information probably a year before there… https://t.co/tiIRwPaUtD,Fox News,Tue Apr 10 12:42:17 +0000 2018,0.0,0.0,0.0,1.0,97
97,Jonathan Turley: “The president has to be very careful. The greatest danger that he faces is not Michael Cohen as d… https://t.co/Qx2Fe3VucN,Fox News,Tue Apr 10 12:22:10 +0000 2018,0.4509,0.221,0.118,0.661,98
98,China files trade complaint against US over steel tariffs https://t.co/xjM8jl3tmY https://t.co/kgAskc4Wxn,Fox News,Tue Apr 10 12:13:32 +0000 2018,-0.296,0.0,0.18,0.82,99
99,Crews Start New Border Wall in New Mexico https://t.co/B2Fx5ZpG49,Fox News,Tue Apr 10 12:12:44 +0000 2018,0.0,0.0,0.0,1.0,100
